ISBN;Título;Autor;Géneros;Descripción;Precio
978-3-16-148410-0;El Principito;Antoine de Saint-Exupéry;Ficción, Literatura Infantil;Un piloto que sufre un accidente en el desierto del Sahara conoce a un pequeño príncipe venido de otro planeta. La historia está llena de simbolismo y lecciones de vida.;199.50
978-0-7432-7356-5;Los Pilares de la Tierra;Ken Follett;Ficción, Histórica;Una épica historia ambientada en la Edad Media que narra la construcción de una catedral y los conflictos que rodean a los personajes involucrados.;349.99
978-0-452-28423-4;1984;George Orwell;Ciencia Ficción, Distopía;Una novela que describe un régimen totalitario, en el que el estado controla cada aspecto de la vida de sus ciudadanos. Es una profunda crítica a la manipulación política.;245.00
978-1-56619-909-4;Cien Años de Soledad;Gabriel García Márquez;Ficción, Realismo Mágico;La saga de la familia Buendía en el pueblo ficticio de Macondo, donde lo mágico y lo cotidiano se entrelazan en una narrativa envolvente.;299.75
978-0-316-76948-8;El Código Da Vinci;Dan Brown;Ficción, Thriller;Un misterio que involucra a la iglesia católica, obras de arte renacentistas y una serie de secretos que se revelan tras una cadena de acertijos y conspiraciones.;199.90
978-0-06-231609-7;Sapiens;Yuval Noah Harari;Historia, Ciencia;Un recorrido por la historia de la humanidad desde sus orígenes hasta el presente, explicando cómo nuestra especie se ha transformado social y culturalmente.;325.00
978-1-4088-1162-5;Harry Potter y la Piedra Filosofal;J.K. Rowling;Ficción, Fantasía;La historia del joven mago Harry Potter, quien descubre su verdadera naturaleza y comienza sus estudios en la escuela de magia Hogwarts.;275.50
978-0-14-044913-6;El Arte de la Guerra;Sun Tzu;Estrategia, Filosofía;Un tratado sobre estrategia militar que se ha convertido en una fuente de inspiración en campos tan diversos como el liderazgo y los negocios.;179.00
978-0-385-50420-1;Jurassic Park;Michael Crichton;Ciencia Ficción, Aventura;La historia de un parque temático poblado por dinosaurios clonados, que pone a prueba los límites de la ciencia y las consecuencias del poder tecnológico.;289.50
978-0-7434-8773-5;El Alquimista;Paulo Coelho;Ficción, Filosofía;Santiago, un pastor andaluz, se embarca en una aventura para encontrar un tesoro en las pirámides de Egipto, en un viaje lleno de enseñanzas sobre los sueños y la vida.;220.00
978-3-16-128410-0;Prueba;Vicente;UAM, Práctica, AIAE;Es la prueba de la práctica 2;1000.0
